,Number of Hosts,Algorithm,Job Number,Job Type,Job Period,Target Server,Job Success Rate
0,3,random,30,tcp_speed_test,17,10.0.1.1,125.0
1,3,random,4,tcp_speed_test,17,10.0.1.1,125.0
2,3,random,48,tcp_speed_test,14,10.0.1.1,107.14285714285714
3,3,random,39,tcp_speed_test,19,10.0.1.1,136.36363636363635
4,3,random,38,tcp_speed_test,11,10.0.1.1,88.23529411764706
5,3,random,16,tcp_speed_test,14,10.0.1.1,107.14285714285714
6,3,random,32,tcp_speed_test,13,10.0.1.1,100.0
7,3,random,43,tcp_speed_test,19,10.0.1.1,136.36363636363635
8,3,random,2,tcp_speed_test,12,10.0.1.1,93.75
9,3,random,27,tcp_speed_test,20,10.0.1.1,150.0
10,3,random,11,tcp_speed_test,14,10.0.1.1,107.14285714285714
11,3,random,20,tcp_speed_test,13,10.0.1.1,100.0
12,3,random,44,tcp_speed_test,12,10.0.1.1,93.75
13,3,random,21,tcp_speed_test,10,10.0.1.1,78.94736842105263
14,3,random,15,tcp_speed_test,14,10.0.1.1,107.14285714285714
15,3,random,9,tcp_speed_test,11,10.0.1.1,83.33333333333334
16,3,random,36,tcp_speed_test,13,10.0.1.1,100.0
17,3,random,19,tcp_speed_test,19,10.0.1.1,136.36363636363635
18,3,random,47,tcp_speed_test,15,10.0.1.1,115.38461538461537
19,3,random,41,tcp_speed_test,18,10.0.1.1,136.36363636363635
20,3,random,28,tcp_speed_test,19,10.0.1.1,136.36363636363635
21,3,random,12,tcp_speed_test,20,10.0.1.1,150.0
22,3,random,40,tcp_speed_test,18,10.0.1.1,136.36363636363635
23,3,random,5,tcp_speed_test,14,10.0.1.1,107.14285714285714
24,3,random,14,tcp_speed_test,14,10.0.1.1,107.14285714285714
25,3,random,35,tcp_speed_test,12,10.0.1.1,93.75
26,3,random,24,tcp_speed_test,19,10.0.1.1,150.0
27,3,random,33,tcp_speed_test,11,10.0.1.1,83.33333333333334
28,3,random,29,tcp_speed_test,14,10.0.1.1,107.14285714285714
29,3,random,13,tcp_speed_test,15,10.0.1.1,115.38461538461537
30,3,random,22,tcp_speed_test,18,10.0.1.1,136.36363636363635
31,3,random,49,tcp_speed_test,16,10.0.1.1,125.0
32,3,random,7,tcp_speed_test,13,10.0.1.1,100.0
33,3,random,18,tcp_speed_test,13,10.0.1.1,100.0
34,3,random,34,tcp_speed_test,11,10.0.1.1,83.33333333333334
35,3,random,46,tcp_speed_test,13,10.0.1.1,100.0
36,3,random,25,tcp_speed_test,17,10.0.1.1,125.0
37,3,random,8,tcp_speed_test,13,10.0.1.1,100.0
38,3,random,1,tcp_speed_test,11,10.0.1.1,83.33333333333334
